polled_at_utc,polled_at_pacific,route,date,source,cabin,old_seats,new_seats,airlines,source_updated_at
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-15,qatar,Y,none,4,AY,2026-08-14T05:20:27.883363Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-15,qatar,W,none,0,,2026-08-14T05:20:27.883363Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-15,qatar,J,none,0,,2026-08-14T05:20:27.883363Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-15,qatar,F,none,0,,2026-08-14T05:20:27.883363Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-16,qatar,Y,none,0,,2026-08-10T08:32:25.696748Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-16,qatar,W,none,0,,2026-08-10T08:32:25.696748Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-16,qatar,J,none,0,,2026-08-10T08:32:25.696748Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-16,qatar,F,none,0,,2026-08-10T08:32:25.696748Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-16,qantas,Y,none,0,,2026-08-07T21:16:05.655905Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-16,qantas,W,none,0,,2026-08-07T21:16:05.655905Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-16,qantas,J,none,0,,2026-08-07T21:16:05.655905Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-16,qantas,F,none,0,,2026-08-07T21:16:05.655905Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-17,qantas,Y,none,4,AY,2026-08-07T21:14:58.059759Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-17,qantas,W,none,2,AY,2026-08-07T21:14:58.059759Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-17,qantas,J,none,0,,2026-08-07T21:14:58.059759Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-17,qantas,F,none,0,,2026-08-07T21:14:58.059759Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-17,qatar,Y,none,0,,2026-08-11T22:54:37.99254Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-17,qatar,W,none,0,,2026-08-11T22:54:37.99254Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-17,qatar,J,none,0,,2026-08-11T22:54:37.99254Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-17,qatar,F,none,0,,2026-08-11T22:54:37.99254Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-18,qantas,Y,none,0,,2026-08-07T21:12:47.771063Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-18,qantas,W,none,0,,2026-08-07T21:12:47.771063Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-18,qantas,J,none,0,,2026-08-07T21:12:47.771063Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-18,qantas,F,none,0,,2026-08-07T21:12:47.771063Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-18,qatar,Y,none,0,,2026-08-13T10:18:09.777935Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-18,qatar,W,none,0,,2026-08-13T10:18:09.777935Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-18,qatar,J,none,0,,2026-08-13T10:18:09.777935Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-18,qatar,F,none,0,,2026-08-13T10:18:09.777935Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-19,qantas,Y,none,4,AY,2026-08-08T02:11:44.538054Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-19,qantas,W,none,2,AY,2026-08-08T02:11:44.538054Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-19,qantas,J,none,0,,2026-08-08T02:11:44.538054Z
